Table 39 Count 1 :	[1519]
Table 2325 Count 18 :	[2777, 1732, 3400, 2711, 3736, 3323, 3126, 3931, 3084, 3932, 3898, 3693, 3862, 3650, 1830, 961, 333, 3618]
Table 2337 Count 14 :	[2337, 2304, 3705, 654, 3969, 1645, 1028, 1498, 1539, 3094, 1412, 1114, 3243, 1215]
Table 2364 Count 5 :	[327, 325, 1936, 2738, 2364]
Table 2400 Count 10 :	[2596, 2400, 529, 1071, 3812, 2297, 3637, 2293, 3143, 2335]
Table 2413 Count 72 :	[1375, 1643, 2749, 3947, 3160, 1770, 1907, 4143, 2857, 1908, 3290, 703, 936, 2604, 2873, 1789, 1652, 2473, 1250, 2819, 1126, 2010, 2011, 3564, 1127, 2588, 2591, 1261, 1604, 793, 792, 2357, 2356, 1990, 3176, 3782, 2361, 1142, 1754, 1856, 1140, 3920, 1139, 2509, 3341, 3102, 619, 4201, 1704, 3354, 1288, 1952, 2399, 2397, 2247, 1287, 3619, 990, 1939, 3022, 1937, 1058, 2413, 1470, 2410, 3367, 2654, 1567, 2416, 1935, 1314, 3856]
Table 2417 Count 24 :	[791, 3131, 1608, 3646, 3316, 546, 3611, 1851, 2344, 891, 2194, 1841, 3333, 2735, 2898, 1410, 3659, 3033, 2417, 4085, 1631, 3784, 4091, 2127]
Table 2471 Count 21 :	[3613, 1067, 476, 3918, 2299, 1488, 1574, 1875, 1602, 1543, 2471, 1436, 2108, 2411, 3082, 3150, 2085, 1517, 962, 2031, 1759]
Table 2526 Count 66 :	[408, 1097, 2070, 3702, 827, 3004, 3694, 2594, 1474, 2324, 1486, 2607, 3137, 1132, 789, 1730, 4098, 2465, 644, 794, 164, 530, 1857, 2963, 1378, 4126, 3645, 1855, 3764, 3765, 3880, 200, 1576, 3761, 2922, 3227, 1165, 2137, 2377, 2526, 2662, 3899, 4209, 1591, 332, 2393, 3135, 3848, 2172, 3120, 1536, 2528, 3234, 1807, 3598, 595, 3239, 1325, 1448, 1072, 3721, 1453, 3857, 726, 1792, 1928]
Table 2527 Count 70 :	[2200, 685, 3286, 817, 3283, 287, 3811, 1659, 2057, 146, 1485, 1484, 2723, 689, 1345, 1253, 2477, 1522, 1263, 1625, 184, 2492, 1750, 1506, 57, 3308, 1137, 2571, 4001, 1021, 2925, 3475, 626, 865, 2527, 2792, 2520, 219, 1590, 992, 3073, 2665, 211, 373, 3975, 1064, 369, 3023, 368, 2162, 1817, 2160, 3968, 3605, 3604, 1198, 980, 3012, 3505, 1687, 1802, 1313, 3104, 3025, 1553, 3381, 122, 1691, 1319, 2426]
Table 2558 Count 11 :	[2558, 1581, 3814, 2918, 859, 2158, 59, 1889, 2743, 2029, 2587]
Table 2605 Count 15 :	[717, 65, 1022, 3799, 515, 3774, 741, 4078, 4050, 3776, 1870, 3539, 2144, 2605, 1346]
Table 2671 Count 21 :	[927, 1404, 1844, 2862, 1847, 3561, 3635, 824, 1496, 1388, 592, 2255, 4145, 250, 452, 639, 2671, 1104, 1284, 811, 1584]
Table 2717 Count 41 :	[1221, 3944, 2032, 1152, 3706, 3285, 2610, 2206, 2981, 3936, 1709, 1768, 2074, 3464, 4009, 4008, 1571, 3839, 1117, 3474, 2016, 2184, 3810, 3268, 222, 1902, 1487, 2125, 3954, 978, 4171, 1944, 3596, 2219, 3779, 359, 2282, 3648, 2692, 3582, 2635]
Table 2787 Count 7 :	[1255, 3748, 2131, 2787, 2924, 1773, 553]
Table 2848 Count 25 :	[2510, 2848, 3522, 1771, 13, 805, 153, 3688, 1234, 89, 3410, 1654, 1252, 163, 162, 3904, 41, 2529, 255, 838, 2091, 2551, 1450, 656, 1078]
Table 2885 Count 6 :	[34, 2049, 3735, 3971, 1614, 2885]
Table 2895 Count 16 :	[2472, 2270, 1222, 2916, 2987, 2173, 2535, 3127, 3940, 3668, 2895, 1166, 3080, 3653, 3821, 3485]
Table 2899 Count 38 :	[2614, 608, 3457, 748, 72, 2076, 3291, 2684, 4080, 326, 1170, 760, 4210, 2593, 268, 3215, 2943, 653, 2338, 3493, 2955, 1613, 3730, 36, 2647, 498, 2892, 499, 425, 2899, 289, 3506, 1747, 3712, 733, 3984, 3860, 1621]
Table 2933 Count 2 :	[294, 1798]
Table 2941 Count 13 :	[312, 2313, 1120, 1746, 3626, 2114, 2429, 1693, 391, 2941, 1723, 1275, 2095]
Table 2992 Count 14 :	[32, 477, 3405, 203, 3731, 784, 1124, 2136, 17, 560, 1210, 2784, 2670, 2992]
Table 3049 Count 7 :	[3049, 3161, 512, 615, 2385, 78, 465]
Table 3071 Count 54 :	[4129, 1766, 3950, 2741, 3288, 2047, 1239, 3695, 3536, 260, 1903, 2056, 264, 3823, 2060, 1401, 2237, 1739, 2105, 641, 3574, 428, 665, 1387, 1751, 1512, 3440, 3924, 2212, 3760, 2813, 742, 1015, 1052, 3071, 4025, 91, 100, 3249, 370, 227, 3262, 3977, 2893, 3384, 495, 2284, 1324, 2279, 3027, 1796, 3110, 1552, 1318]
Table 3081 Count 1 :	[3245]
Table 3106 Count 26 :	[4097, 3338, 2375, 2611, 1131, 948, 1710, 3190, 2414, 646, 3394, 1639, 438, 2354, 1113, 531, 2280, 3236, 2022, 3106, 3513, 4190, 3480, 1788, 1076, 4157]
Table 3114 Count 30 :	[1017, 1583, 272, 1035, 141, 819, 3228, 3229, 3335, 463, 807, 392, 2023, 1349, 390, 2061, 150, 3016, 445, 234, 1465, 161, 3257, 2894, 2584, 3928, 292, 293, 3378, 423]
Table 3149 Count 36 :	[957, 3407, 883, 2613, 1431, 547, 1696, 2860, 4206, 1303, 1090, 194, 3149, 806, 1595, 1712, 1042, 759, 3854, 2234, 306, 2537, 581, 582, 971, 1443, 4052, 2281, 2967, 3107, 1556, 721, 3996, 539, 303, 2840]
Table 3158 Count 33 :	[1703, 3404, 1425, 2035, 1647, 3460, 350, 1633, 890, 3158, 347, 2619, 1438, 2077, 1911, 1836, 93, 3209, 2451, 1246, 3487, 4156, 1821, 1341, 3253, 3804, 1333, 1471, 2223, 1858, 1516, 2152, 4061]
Table 3178 Count 8 :	[1409, 3178, 3830, 755, 4031, 557, 520, 1347]
Table 3184 Count 10 :	[343, 4034, 118, 2134, 649, 2341, 585, 573, 1398, 3586]
Table 3188 Count 11 :	[2912, 3317, 353, 2266, 3757, 3074, 2845, 1208, 149, 1653, 1721]
Table 3203 Count 51 :	[1373, 2067, 2017, 1779, 3271, 2186, 3419, 2999, 2993, 3272, 2874, 2717, 169, 2476, 1535, 521, 3303, 1624, 2086, 4118, 3177, 1995, 418, 4123, 3790, 1974, 3337, 888, 2262, 2680, 3636, 3632, 1599, 3203, 1173, 3476, 872, 1727, 1179, 2642, 4163, 2649, 2768, 3123, 2653, 1565, 1080, 1326, 4188, 3994, 2154]
Table 3210 Count 74 :	[1220, 551, 823, 3524, 2066, 3943, 3962, 1235, 813, 2998, 2178, 1895, 3820, 269, 2958, 3915, 1520, 2008, 3322, 288, 4113, 4048, 1268, 3454, 4054, 1380, 3447, 1997, 3579, 3216, 1697, 3775, 1981, 1708, 4203, 3769, 1049, 2659, 4021, 2931, 461, 2930, 3067, 3478, 2932, 3358, 3896, 1004, 3058, 2939, 3059, 3210, 215, 1548, 3019, 984, 1938, 3021, 3010, 229, 226, 834, 3988, 1680, 3118, 1207, 2767, 1449, 2905, 1315, 2911, 3111, 1555, 1554]
Table 3218 Count 26 :	[3218, 3456, 2849, 4132, 1575, 2378, 3771, 2317, 3202, 2326, 2663, 1295, 3206, 3208, 2398, 3680, 2515, 3491, 1806, 3453, 2420, 2838, 2560, 3569, 3724, 3309]
Table 3256 Count 14 :	[1, 1457, 38, 2267, 3256, 950, 109, 193, 1257, 3739, 54, 2554, 417, 2244]
Table 3263 Count 9 :	[1358, 2232, 1133, 3050, 1355, 3881, 1259, 1423, 3263]
Table 3299 Count 9 :	[3299, 1053, 4059, 298, 3787, 286, 1224, 538, 318]
Table 3307 Count 14 :	[2295, 2501, 1433, 133, 3691, 3660, 2387, 2833, 386, 3142, 2246, 3307, 1377, 3752]
Table 3312 Count 9 :	[2836, 3312, 3036, 3087, 3835, 3310, 846, 2028, 860]
Table 3319 Count 37 :	[4066, 1577, 402, 3832, 1432, 830, 622, 2379, 945, 673, 2436, 672, 4082, 1899, 156, 3538, 2790, 508, 3319, 1940, 1397, 2890, 381, 2466, 2948, 862, 1606, 439, 1927, 2972, 670, 2490, 2358, 2698, 1558, 1930, 658]
Table 3324 Count 9 :	[3421, 2283, 2970, 1233, 174, 1219, 447, 2796, 3324]
Table 3354 Count 1 :	[702]
